source,output,size_px,size_kb,quality
sepatu_stiletto_sneaker_dan_ban_traktor.png,solid_context.webp,944x507,91.2,76
perbandingan_tekanan_pada_balok_kayu.png,solid_blocks.webp,944x592,50.6,76
tang_air_silinder_dengan_penyelam_langka.png,hydro_diver.webp,480x944,86.9,76
diagram_tekanan_hidrostatik_pada_bendungan.png,hydro_dam.webp,944x670,137.1,76
diagram_gaya_apung_dalam_beaker.png,arch_forces.webp,899x944,209.8,76
ilustrasi_penampang_kapal_di_atas_air.png,arch_ship.webp,944x532,84.9,76
ilustrasi_potongan_melintang_kapal_selam.png,arch_submarine.webp,944x506,68.8,76
gelas_terbalik_menahan_air.png,gas_inverted_glass.webp,944x764,85.1,76
balon_merah_mengembang_di_penangas_air.png,gas_balloon_bath.webp,765x944,123.0,76
ilustrasi_lift_hidrolik_dengan_mobil_terangkat.png,pascal_car_lift.webp,944x693,88.1,76
kotak_kaca_berisi_partikel_gas_bergerak.png,gas_particles.webp,944x704,115.6,76
balon_udara_mosaik_berwarna_warni.png,gas_hot_air_balloon.webp,708x944,101.6,76
diagram_botani_aliran_air_pada_tumbuhan.png,plant_xylem.webp,758x944,219.8,76
diagram_aliran_floem_tanaman_tomat.png,plant_phloem.webp,762x944,325.4,76
ilustrasi_tensimeter_pada_lengan_manusia.png,blood_cuff.webp,776x944,81.9,76
ilustrasi_anatomi_jantung_realistis.png,blood_heart.webp,750x944,208.0,76
ilustrasi_pertukaran_gas_di_alveolus.png,resp_alveolus.webp,796x944,190.5,76
kendaraan_penyelamat_off_road_biru_oranye.png,game_vehicle.webp,944x603,141.7,76
roda_industri_oranye_dengan_ban_off_road_rugged.png,game_wheel.webp,944x937,179.4,76
pengukur_tekanan_metalik_dengan_jarum_merah.png,pressure_gauge.webp,757x944,98.3,76
potongan_tanah_dengan_rumput.png,terrain_hard.webp,944x184,63.5,76
potongan_platform_pasir_bertekstur.png,terrain_sand.webp,944x174,60.6,76
potongan_tanah_berlumpur_basah.png,terrain_mud.webp,944x187,59.2,76
lift_hidraulik_gunting_dengan_sistem_pompa.png,game_hydraulic_lift.webp,944x593,107.0,76
suv_penyelamat_biru_oranye_dengan_lampu_darurat.png,game_rescue_suv.webp,944x473,79.5,76
perbandingan_tekanan_pada_luas_kontak.png,eval_solid_contact.webp,944x726,61.9,76
akuarium_transparan_dengan_penanda_kedalaman.png,eval_hydro_depth.webp,944x930,161.2,76
tiga_beaker_dan_kondisi_apung_kubus.png,eval_arch_states.webp,944x409,91.2,76
ilustrasi_press_hidrolik_pascal_berisi_cairan_biru.png,eval_pascal.webp,944x559,49.8,76
diagram_anatomi_akar_muda_berkutu_label.png,eval_root.webp,725x944,175.1,76
